latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,,,,,,,
36.44991,-121.84073,121,-28800,America/Los_Angeles,PST,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
time,weather_code (wmo code),temperature_2m_max (°F),temperature_2m_min (°F),temperature_2m_mean (°F),apparent_temperature_max (°F),apparent_temperature_min (°F),apparent_temperature_mean (°F),daylight_duration (s),sunshine_duration (s),precipitation_sum (inch),rain_sum (inch),snowfall_sum (inch),precipitation_hours (h),wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (inch)
7/1/2015,2,76.4,60.4,67.5,79.6,61.2,69.1,52578.74,45722.63,0,0,0,0,8.7,17.9,258,24.84,0.179
7/2/2015,51,71.9,60.2,65,74.1,59.9,65.8,52545.92,43964.46,0.004,0.004,0,1,8.3,19.5,258,22.61,0.156
7/3/2015,1,71.3,58.4,63.9,75.7,59,65,52509.96,49084.97,0,0,0,0,8.1,21,260,28.64,0.183
7/4/2015,2,69.9,56.4,62,72.1,56.3,62.2,52470.97,49056.75,0,0,0,0,9.2,22.1,266,28.05,0.175
7/5/2015,3,70.1,57.5,62.4,73.1,57.5,63.2,52429.01,43688.64,0,0,0,0,8.5,21.7,258,25.92,0.164
7/6/2015,3,69.6,57.5,62.2,71.4,57.5,62.4,52384.16,44346.01,0,0,0,0,9,20.6,275,28.14,0.178
7/7/2015,2,68.5,55.7,61.8,71,55.8,62.1,52336.48,48446.51,0,0,0,0,9.7,21.5,274,27.59,0.169
7/8/2015,51,66.1,56.8,60.5,66.4,55.4,59,52286.06,43820.78,0.004,0.004,0,1,11.9,23.7,274,25.85,0.161
7/9/2015,3,67.1,57,61.4,67.8,55.6,60.8,52232.98,44796,0,0,0,0,10.7,23.7,266,25.57,0.162
7/10/2015,55,64.8,56,60.6,65.1,56.6,60.5,52177.3,47629.29,0.13,0.13,0,4,10.8,23.3,277,21.74,0.134
7/11/2015,1,69,54.4,61.8,71.4,53.9,62.1,52119.12,48788.55,0,0,0,0,11,24.2,278,28.99,0.179
7/12/2015,2,69.5,57.5,62.4,71.8,58,62.6,52058.51,47455.43,0,0,0,0,11.8,24.8,281,27.53,0.171
7/13/2015,2,69.5,57.2,62.5,71.5,56.9,62.8,51995.54,47823.87,0,0,0,0,10.3,24.8,286,29.18,0.18
7/14/2015,3,66.5,56.9,60.8,67.3,56.3,60,51930.3,42436.09,0,0,0,0,11.1,23.9,279,25.35,0.153
7/15/2015,3,70.1,57.1,62.4,72.4,56.5,63,51862.84,45461.74,0,0,0,0,8.4,19.5,254,28.03,0.181
7/16/2015,2,70.5,56.6,63.1,74.1,57.4,64,51793.27,48107.81,0,0,0,0,8.3,19,263,28.92,0.187
7/17/2015,2,69.8,54.6,62.7,72.5,54.8,63.7,51721.64,47075.07,0,0,0,0,8.1,19.7,264,28.97,0.185
7/18/2015,1,70.7,52.8,63.2,73,51.8,64,51648.03,47045.87,0,0,0,0,9.9,22.4,268,28.92,0.188
7/19/2015,63,77.7,59.9,69.7,81.3,61.1,73,51572.18,24239.73,0.248,0.248,0,7,5.8,15.2,348,15.85,0.124
7/20/2015,1,78,63.1,70.6,83.2,64.5,73.7,51493.54,47814.47,0,0,0,0,9.5,19.9,274,26.75,0.193
7/21/2015,2,71.6,59.1,64.7,74,58.9,65.8,51412.21,48118.19,0,0,0,0,9.4,21.3,272,28.3,0.181
7/22/2015,3,67.8,57.7,61.7,69,57,61.3,51328.33,46606.66,0,0,0,0,10.9,23,273,26.24,0.162
7/23/2015,3,67.3,57.2,60.7,68.8,56.5,60.1,51242.01,43149.37,0,0,0,0,9.4,21.9,282,25.88,0.161
7/24/2015,2,71.1,53.8,61.9,73.7,53.3,62,51153.37,47608.04,0,0,0,0,7.7,19.2,285,29.6,0.192
7/25/2015,1,70.3,55,61.9,72.8,54.6,62.1,51062.53,47659.8,0,0,0,0,9.7,20.1,280,29.41,0.185
