latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,,,,,,,
36.731106,-119.76378,98,-28800,America/Los_Angeles,PST,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
time,weather_code (wmo code),temperature_2m_max (°F),temperature_2m_min (°F),temperature_2m_mean (°F),apparent_temperature_max (°F),apparent_temperature_min (°F),apparent_temperature_mean (°F),daylight_duration (s),sunshine_duration (s),precipitation_sum (inch),rain_sum (inch),snowfall_sum (inch),precipitation_hours (h),wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (inch)
7/1/2015,1,103.5,81.1,93.6,103,79.3,92.5,52675.58,41499.53,0,0,0,0,8.1,16.3,333,20.31,0.251
7/2/2015,2,100.7,80.3,91.6,101,80.8,91.7,52642.38,48746.99,0,0,0,0,7.7,18.6,330,22.42,0.259
7/3/2015,1,103.9,79.5,91.4,108.1,82.5,94.6,52606.02,48993.59,0,0,0,0,8.9,24.6,313,28.74,0.316
7/4/2015,53,103.4,77.7,90.7,106.9,78.5,91.3,52566.57,48833.93,0.024,0.024,0,1,8.5,20.6,305,28.22,0.331
7/5/2015,0,100.6,76.1,88.2,102.7,75,88.1,52524.13,49152.79,0,0,0,0,11.3,23.9,306,29.88,0.34
7/6/2015,0,95.8,71.7,83.8,94.8,70.9,82.1,52478.76,49111.24,0,0,0,0,11.8,25.1,305,30.03,0.347
7/7/2015,0,95.2,70.4,82.6,94.7,68.4,80.7,52430.54,49067.04,0,0,0,0,10.8,25.9,307,30.15,0.339
7/8/2015,51,92.3,68,80,92,67,77.6,52379.54,49020.28,0.008,0.008,0,1,11.2,22.1,304,28.5,0.313
7/9/2015,51,87.5,64.8,76.2,87.6,62.6,75,52325.85,48970.99,0.004,0.004,0,1,9.3,19,304,27.41,0.264
7/10/2015,3,85.1,66.9,75.7,85.8,65.7,74.7,52269.55,48222.21,0,0,0,0,9.6,19.2,306,22.68,0.23
7/11/2015,0,93.4,67.1,80.5,93.5,66.2,79.9,52210.7,48865.14,0,0,0,0,9.2,22.6,308,29.97,0.303
7/12/2015,1,95.5,70,82.6,96.1,69.3,81.8,52149.41,48808.71,0,0,0,0,10.3,23.7,307,29.3,0.308
7/13/2015,1,95.8,70.6,83.1,95,69,81.1,52085.71,48750.04,0,0,0,0,11.6,21.9,307,29.81,0.332
7/14/2015,0,96.1,69.1,82.5,94.1,67.8,79.7,52019.73,48689.21,0,0,0,0,10.6,22.6,308,30.41,0.339
7/15/2015,0,97.4,66.4,82.6,96.7,64.2,80.8,51951.51,48626.25,0,0,0,0,7.4,16.6,309,30.46,0.295
7/16/2015,0,100.5,72,86.8,100.4,70.8,85.5,51881.15,48561.25,0,0,0,0,5.9,15.4,312,30.33,0.307
