time,temperature_2m_max (°F),temperature_2m_min (°F),apparent_temperature_max (°F),apparent_temperature_min (°F),precipitation_sum (inch),rain_sum (inch),wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h)
1/1/2015,49.5,28.9,44,21.9,0,0,5.2,9.6
1/2/2015,50.8,30.2,45.7,24,0,0,5,8.7
1/3/2015,52.2,29.7,47.6,23.5,0,0,4.2,10.1
1/4/2015,54.4,34,50,28.1,0,0,4.2,11.4
1/5/2015,59.1,32,55.5,27,0,0,5,8.9
1/6/2015,65.2,34.3,62.6,29.1,0,0,5.2,8.3
1/7/2015,66.4,36.2,64.1,31.4,0,0,4.5,9.8
1/8/2015,66.9,37.6,64.7,32.8,0,0,4.6,8.3
1/9/2015,63.1,43.6,61.4,40.5,0,0,4.9,9.8
1/10/2015,65.9,43.8,63.2,40.6,0,0,5.5,9.8
1/11/2015,63.8,43.7,62.3,40.7,0,0,3.4,10.1
1/12/2015,60.6,44.5,57.8,40.6,0,0,5.3,13.4
1/13/2015,61.5,42.4,59.7,39.4,0,0,4.7,10.7
1/14/2015,63,37.9,60.9,34.3,0,0,4,10.7
1/15/2015,63.1,36.5,59.5,31.9,0,0,5.1,10.1
1/16/2015,62.4,39.5,57.7,35,0,0,5.4,13.2
1/17/2015,61.6,41.1,58.8,37.8,0,0,4.8,10.7
1/18/2015,65.6,43.1,64,39.9,0,0,4.8,10.1
1/19/2015,61.3,47.5,59.3,45.8,0,0,4.8,14.3
1/20/2015,57.9,43.9,55.4,40.4,0,0,5.6,15.2
1/21/2015,58.9,40.5,56.1,36.6,0,0,4.3,10.3
1/22/2015,61.6,38.3,57.7,34.7,0,0,5.1,11.9
1/23/2015,61.9,36.5,57.6,31.8,0,0,4.9,11.2
1/24/2015,63.7,36.2,59.6,31.7,0,0,4,10.1
1/25/2015,66,35.8,62.4,30.9,0,0,4.7,9.8
1/26/2015,67.3,39.4,64,34.8,0,0,4.8,13.2
1/27/2015,64.6,49.5,63.5,47,0.13,0.13,8.9,18.1
1/28/2015,64.4,43.1,61.6,39.4,0,0,5,12.1
1/29/2015,67.6,42.9,64.8,39.3,0,0,5.6,11.2
1/30/2015,64.9,42,62.2,38.1,0,0,4.3,12.5
1/31/2015,65.7,45.7,63.8,43.1,0,0,4.6,12.5
2/1/2015,67.4,41.4,64.5,37.8,0,0,5.4,10.5
2/2/2015,67.4,44.8,65,41.2,0,0,5.3,11
2/3/2015,68.4,45.4,66.5,42.5,0,0,3.8,9.8
2/4/2015,76.1,43.6,73.3,39.1,0,0,5.3,11.9
2/5/2015,77.2,46.6,73.6,41.8,0,0,6.1,12.5
2/6/2015,75,48.5,70.2,44.5,0.012,0.012,8.4,18.6
2/7/2015,68.3,55.8,67.1,52.8,0.535,0.535,12,25.9
2/8/2015,70.5,52.2,68.8,49.6,0.555,0.555,9.5,23.7
2/9/2015,69,51.4,64.1,50,0.024,0.024,10.5,20.4
2/10/2015,63.5,46.7,60.8,44,0,0,7.6,15
2/11/2015,68.6,45.6,66.3,42.6,0,0,5.3,12.3
