latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,,,,,,,
36.44991,-116.436035,680,-28800,America/Los_Angeles,PST,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
time,weather_code (wmo code),temperature_2m_max (°F),temperature_2m_min (°F),temperature_2m_mean (°F),apparent_temperature_max (°F),apparent_temperature_min (°F),apparent_temperature_mean (°F),daylight_duration (s),sunshine_duration (s),precipitation_sum (inch),rain_sum (inch),snowfall_sum (inch),precipitation_hours (h),wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (inch)
7/1/2015,51,101.7,81.7,94.7,101.7,79.5,93.2,52578.74,49175.34,0.004,0.004,0,1,8,25.9,265,29.21,0.317
7/2/2015,51,102.4,81.3,92.1,104.6,82.6,92.9,52545.92,40404.37,0.024,0.024,0,4,3.8,18.3,268,25.48,0.252
7/3/2015,2,104.9,83.2,95,104.6,83.4,93.6,52509.96,44223.9,0,0,0,0,4,14.5,242,27.32,0.26
7/4/2015,2,99.8,83.6,93.2,100.4,80,90.2,52470.97,42497.86,0,0,0,0,8.1,18.8,12,25.87,0.298
7/5/2015,2,102.5,77.2,91.8,103.2,76.5,90.7,52429.01,49073.01,0,0,0,0,6.8,15,358,29.24,0.286
7/6/2015,53,99.4,77.8,90,99.4,78.4,89.3,52384.16,46837.86,0.043,0.043,0,5,10.1,16.6,122,25.82,0.255
7/7/2015,53,98.3,77.2,89.5,96.8,78.4,88.3,52336.48,48988.22,0.051,0.051,0,4,6.7,22.1,159,26.74,0.272
7/8/2015,1,95.3,74.6,86.1,91.7,70.6,82.1,52286.06,48941.97,0,0,0,0,9.5,29.5,169,30.38,0.321
7/9/2015,1,87,70.4,79.9,84.4,69.2,77,52232.98,48893.22,0,0,0,0,7.8,26.4,169,28.64,0.283
7/10/2015,1,88.4,65.6,78.9,86.5,64,76.3,52177.3,48842.05,0,0,0,0,8.7,25.5,153,30.51,0.283
7/11/2015,1,92,67.9,82.4,89.9,65.4,79.8,52119.12,48788.55,0,0,0,0,7.5,23.5,160,29.86,0.284
7/12/2015,0,96,72.6,85.8,94.7,70.6,83.1,52058.51,48732.74,0,0,0,0,7.4,22.1,160,30.87,0.303
7/13/2015,1,98.4,74.8,87.8,95.2,70.9,83.3,51995.54,48674.72,0,0,0,0,6.5,19,163,31.23,0.315
7/14/2015,1,97.7,75.8,87.7,92.9,71.7,82.6,51930.3,48614.55,0,0,0,0,9.9,25.3,167,31.27,0.34
7/15/2015,0,96.7,74.6,86.5,93.1,70,81.9,51862.84,48552.28,0,0,0,0,7.5,21.5,154,31.39,0.319
7/16/2015,0,99.1,74.8,88.1,96.1,71.1,83.8,51793.27,48487.99,0,0,0,0,6.7,20.6,158,31.43,0.312
7/17/2015,0,100.9,76.8,90.1,97.9,71.4,85.3,51721.64,48421.74,0,0,0,0,8.6,24.8,188,31.19,0.329
7/18/2015,53,92,74.6,82.3,90,72.6,79.8,51648.03,42846.39,0.051,0.051,0,4,12,32.4,184,23.15,0.257
7/19/2015,2,92.4,66.9,81.3,92.7,68.7,81.5,51572.18,48283.44,0,0,0,0,6.4,18.6,158,28.95,0.257
7/20/2015,51,82,71.5,76.6,84.2,74.4,78.8,51493.54,28249.28,0.075,0.075,0,6,6.7,19.2,101,19.79,0.17
7/21/2015,0,94.1,65.3,81.9,94.9,67.8,83.1,51412.21,48135.45,0,0,0,0,3.3,15.4,112,29.47,0.237
7/22/2015,0,95.3,72.6,85.3,93.9,73,84,51328.33,48057.76,0,0,0,0,8.6,24.8,172,29.17,0.294
7/23/2015,0,93.5,70.1,83.8,92.7,70,81.9,51242.01,47977.75,0,0,0,0,7.9,22.1,159,29.56,0.3
7/24/2015,0,96.3,70.6,85.3,94.6,68.7,82.4,51153.37,47895.5,0,0,0,0,6.4,19,160,30.64,0.3
7/25/2015,0,97.3,74.4,86.6,95.2,69.5,82.6,51062.53,47811.14,0,0,0,0,5.9,15.7,147,30.82,0.307
7/26/2015,0,97,74.6,86.2,93.1,69.6,81.5,50969.61,47724.77,0,0,0,0,8.1,19.9,156,30.93,0.329
7/27/2015,0,97.2,73.7,86.5,93.6,71,82.3,50874.71,47636.48,0,0,0,0,7,18.8,322,30.83,0.305
7/28/2015,0,98.9,69.4,88.4,97.1,62.5,83.1,50777.95,47546.36,0,0,0,0,5.2,15.7,340,30.93,0.281
7/29/2015,1,103.5,73.4,91.3,101.8,68,87.6,50679.45,47311.8,0,0,0,0,8.3,17.7,135,29.95,0.295
7/30/2015,2,101.1,78.4,90.1,96.6,79.3,88.6,50579.31,46591.01,0,0,0,0,6.7,17.9,310,21.27,0.23
7/31/2015,2,100.8,79.9,91.3,102.4,78.9,90.5,50477.64,45038.67,0,0,0,0,6.5,18.6,20,24.44,0.259
8/1/2015,55,95.1,79.3,87.6,98,78.7,87.7,50374.55,36146.62,0.075,0.075,0,3,8.4,22.8,87,22.14,0.227
8/2/2015,1,98.7,74.9,87.5,99.7,77.8,88.3,50270.14,44774.07,0,0,0,0,4.1,14.3,300,26.86,0.235
8/3/2015,1,102,76.5,91,99.6,73,86.7,50164.52,46972.92,0,0,0,0,7.4,22.4,163,29.98,0.298
8/4/2015,1,100.9,76.9,90.1,97.7,72.5,86.1,50057.78,45988.61,0,0,0,0,7.2,22.1,160,28.52,0.3
8/5/2015,1,100.3,77,90.2,97.2,75.2,87.3,49950.03,46234.27,0,0,0,0,4.8,16.6,152,25.98,0.229
8/6/2015,3,101.2,79.4,91.4,96.5,75.7,86.1,49841.36,41243.15,0,0,0,0,10,20.4,142,23.66,0.294
8/7/2015,51,96.2,73.9,85.3,96.1,75.2,83.8,49731.86,46566.2,0.008,0.008,0,1,6.2,22.8,145,28.28,0.262
8/8/2015,0,94.7,73,84.4,93.5,68.7,80.7,49621.2,46318.63,0,0,0,0,3.4,14.3,343,29.43,0.243
8/9/2015,0,98.6,69.4,86.8,96,63.5,82,49508.66,46158.8,0,0,0,0,4.6,16.1,115,29.86,0.271
8/10/2015,0,98.9,75.5,88.4,96.6,71.4,84.7,49394.34,46003.56,0,0,0,0,8.1,23.7,153,29.04,0.292
