latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,,,,,,,
37.785587,-118.554214,1642,-28800,America/Los_Angeles,PST,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
time,weather_code (wmo code),temperature_2m_max (°F),temperature_2m_min (°F),temperature_2m_mean (°F),apparent_temperature_max (°F),apparent_temperature_min (°F),apparent_temperature_mean (°F),daylight_duration (s),sunshine_duration (s),precipitation_sum (inch),rain_sum (inch),snowfall_sum (inch),precipitation_hours (h),wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (inch)
7/1/2015,3,88.2,68.6,79.5,87.4,70.2,79.4,53046.45,47226.56,0,0,0,0,7,18.3,197,24.9,0.23
7/2/2015,51,86.6,70.2,78.5,88.4,71.8,79.7,53011.78,36649.32,0.028,0.028,0,3,7.2,28.4,131,22.1,0.2
7/3/2015,3,88.1,65,78.2,90.1,67.4,79,52973.82,44283.05,0,0,0,0,5,17,241,28.62,0.254
7/4/2015,53,81,70.3,75,78.9,70.9,74.6,52932.66,33691.59,0.035,0.035,0,4,7.8,18.3,22,18.66,0.176
7/5/2015,55,83.3,63.9,73.1,88,65.2,74.4,52888.36,35170.31,0.079,0.079,0,3,4.9,20.6,33,24.66,0.202
7/6/2015,55,82.9,65.3,73.5,84,64.4,73.1,52841.01,39900.88,0.055,0.055,0,2,8,26.2,237,27.45,0.231
7/7/2015,51,80,63.2,71.1,81.9,63.8,71.4,52790.69,49367.76,0.031,0.031,0,3,7.3,23,281,27.69,0.222
7/8/2015,51,78,60.1,67.4,74.8,59.2,65.9,52737.47,49319,0.008,0.008,0,1,10.1,26.8,265,27.6,0.221
7/9/2015,63,67.1,53,59.4,69.1,52.2,58.6,52681.45,42675.13,0.744,0.744,0,16,6.5,21.3,293,20.23,0.144
7/10/2015,61,71.1,51.6,61.3,74,50.4,61.2,52622.7,47052.05,0.169,0.169,0,9,4.3,18.3,231,25.96,0.185
7/11/2015,61,74.3,54.7,65.5,75.5,54.2,65.4,52561.3,46202.85,0.122,0.122,0,5,5.8,18.8,219,26.89,0.198
7/12/2015,51,78.3,58.1,69.5,80,57.4,68.8,52497.35,49098.48,0.004,0.004,0,1,5,16.3,226,28.82,0.227
7/13/2015,53,80.7,62.3,71.8,83.4,60.7,70.7,52430.91,46110.7,0.031,0.031,0,1,6.3,13.6,319,29.66,0.247
7/14/2015,61,83,62.8,72.9,86.2,60.6,71.5,52362.07,48973.93,0.11,0.11,0,2,5.5,20.4,300,29.73,0.253
7/15/2015,1,83.8,61.8,74.3,85,59.4,73.1,52290.92,48908.32,0,0,0,0,4.8,13,328,30.95,0.257
