latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,,,,,,,
37.785587,-122.40964,19,-28800,America/Los_Angeles,PST,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
time,weather_code (wmo code),temperature_2m_max (°F),temperature_2m_min (°F),temperature_2m_mean (°F),apparent_temperature_max (°F),apparent_temperature_min (°F),apparent_temperature_mean (°F),daylight_duration (s),sunshine_duration (s),precipitation_sum (inch),rain_sum (inch),snowfall_sum (inch),precipitation_hours (h),wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (inch)
7/1/2015,2,75.1,58,66.4,76,58.2,66.4,53046.45,45146.64,0,0,0,0,8.1,21.7,244,24.63,0.181
7/2/2015,51,71.4,58.6,64,71.5,57.8,62.9,53011.78,45138.7,0.028,0.028,0,3,9.2,21,246,19.84,0.143
7/3/2015,51,74.2,57.3,63.6,75.7,55.8,63.2,52973.82,48549.72,0.016,0.016,0,2,10,24.4,254,27.81,0.188
7/4/2015,3,70.8,55.6,61.5,71.9,53.9,60.5,52932.66,48543.41,0,0,0,0,9.8,28.6,246,27.68,0.173
7/5/2015,3,71,56.9,62.6,72.5,54.6,61.5,52888.36,46338.64,0,0,0,0,11.3,28.6,246,25.89,0.164
7/6/2015,1,70.3,57.5,62.8,70.6,56.3,61.4,52841.01,49051.41,0,0,0,0,11.9,27.3,257,29.68,0.189
7/7/2015,1,69.9,58.9,63.4,70.5,58.1,62.2,52790.69,47530.59,0,0,0,0,13.4,27.1,255,27.46,0.176
7/8/2015,3,67.5,58.2,62.2,66.4,55.9,59.7,52737.47,44599.12,0,0,0,0,13.9,28.6,252,26.7,0.172
7/9/2015,53,66.7,59.3,62.2,66,57.1,60.1,52681.45,43895,0.024,0.024,0,2,11.8,25.7,248,19.95,0.135
7/10/2015,53,67.6,58.9,62.6,66.1,57.8,61.5,52622.7,43062.86,0.039,0.039,0,3,9.6,21.7,255,18.67,0.128
7/11/2015,1,69.7,58,63.5,70.6,58.4,62.9,52561.3,48877.55,0,0,0,0,12.4,25.7,260,28.49,0.182
7/12/2015,2,70.8,59.1,64.2,71.5,59.3,63.5,52497.35,47530.4,0,0,0,0,12.8,27.1,257,28.16,0.183
7/13/2015,2,73.3,59.1,65.2,74.1,59.8,64.7,52430.91,48802.41,0,0,0,0,13.7,30.9,261,28.28,0.192
7/14/2015,3,70.3,58.8,63.8,70.2,57.4,62.3,52362.07,47660.06,0,0,0,0,13.6,28.6,244,28.27,0.179
7/15/2015,3,75.1,58.9,64.9,78.1,58.6,65,52290.92,47397.09,0,0,0,0,9.9,24.8,226,28.69,0.197
7/16/2015,2,74.9,57.5,64.6,76,56.5,64.3,52217.53,47781.97,0,0,0,0,10,26.2,235,28.76,0.194
7/17/2015,3,73.1,56.5,63.2,74.5,55.6,63,52141.99,48646.2,0,0,0,0,9.2,25.1,248,29.82,0.195
7/18/2015,2,72.6,56.1,63.5,74.3,55.5,63.3,52064.36,48270.36,0,0,0,0,9.2,25.1,252,30.02,0.196
7/19/2015,61,76.9,59.8,68.8,80.4,60.6,70.8,51984.37,38974.59,0.181,0.181,0,5,8.9,16.6,274,18.95,0.143
7/20/2015,2,78.7,61,70.1,80.2,60.1,71.4,51901.45,48525.39,0,0,0,0,11.9,24.2,255,27.96,0.204
7/21/2015,3,70.3,59.5,63.6,71,58.5,62.7,51815.71,47496.76,0,0,0,0,12.9,27.7,244,25.43,0.16
7/22/2015,3,67.9,58.6,62.4,65.6,56.7,59.9,51727.29,47453.37,0,0,0,0,13.7,28.6,241,25.5,0.159
7/23/2015,3,67.3,58,61.8,66.3,55.4,59.6,51636.3,43027.23,0,0,0,0,11.7,25.5,246,26.13,0.166
7/24/2015,1,71.5,56.6,62.8,72.6,55.5,61.7,51542.88,47813.48,0,0,0,0,10.6,25.1,257,29.55,0.195
7/25/2015,3,70.1,57.1,63,70.1,56.3,62,51447.14,47421.16,0,0,0,0,12.2,25.5,252,27.73,0.176
7/26/2015,3,71.2,58.5,64.3,70.9,57.5,63.3,51349.21,46572.79,0,0,0,0,12.3,26.8,237,26.97,0.178
