"","OBJECTID","FIRE_NAME","FIRE_YEAR","DISCOVERY_DATE","NWCG_CAUSE_CLASSIFICATION","NWCG_GENERAL_CAUSE","CONT_DATE","FIRE_SIZE","FIRE_SIZE_CLASS","LATITUDE","LONGITUDE","STATE","COUNTY","FIPS_CODE","FIPS_NAME"
"1",1789167,"EAGLE 2",2015,2015-08-12,"Natural","Natural",2015-08-24,120,"D",38.22472222,-119.38194444,"CA","051",6051,"Mono County"
"2",1789315,"FIVEMILE",2015,2015-07-31,"Natural","Natural",2015-08-11,80,"C",41.75472222,-123.51833333,"CA","093",6093,"Siskiyou County"
"3",1789335,"PRARIE",2015,2015-08-20,"Human","Missing data/not specified/undetermined",2015-08-22,67.92,"C",41.63638889,-121.86277778,"CA","093",6093,"Siskiyou County"
"4",1789339,"HOWARDS",2015,2015-08-01,"Natural","Natural",2015-08-13,25.18,"C",41.82861111,-123.04,"CA","093",6093,"Siskiyou County"
"5",1789398,"GIBRALTER",2015,2015-10-29,"Human","Missing data/not specified/undetermined",2015-11-04,21,"C",34.48027778,-119.63861111,"CA","083",6083,"Santa Barbara County"
"6",1789406,"CHORRO",2015,2015-08-02,"Human","Missing data/not specified/undetermined",2015-08-11,282,"D",34.59694444,-119.33055556,"CA","111",6111,"Ventura County"
"7",1789450,"TWIN",2015,2015-08-05,"Natural","Natural",2015-08-06,70.8,"C",41.75694444,-121.40111111,"CA","093",6093,"Siskiyou County"
"8",1789454,"MASON",2015,2015-07-09,"Natural","Natural",2015-07-10,43.2,"C",41.87611111,-121.25388889,"CA","049",6049,"Modoc County"
"9",1789459,"FROG",2015,2015-07-30,"Natural","Natural",2015-10-28,4812,"F",41.39833333,-121.39166667,"CA","049",6049,"Modoc County"
"10",1789505,"FEEDER",2015,2015-08-02,"Natural","Natural",2015-09-05,898,"E",41.60111111,-123.85138889,"CA","015",6015,"Del Norte County"
"11",1789509,"WILLIAMS",2015,2015-08-02,"Natural","Natural",2015-09-05,870,"E",41.58333333,-123.75166667,"CA","015",6015,"Del Norte County"
