"Region Code","Timestamp (Hour Ending)","CAL Demand (MWh)","CAR Demand (MWh)","CENT Demand (MWh)","FLA Demand (MWh)","MIDA Demand (MWh)","MIDW Demand (MWh)","NE Demand (MWh)","NW Demand (MWh)","NY Demand (MWh)","SE Demand (MWh)","SW Demand (MWh)","TEN Demand (MWh)","TEX Demand (MWh)"
US48,"2/19/2024 12 a.m. EST",29243,27024,31289,22666,92951,78755,12717,43406,16592,27247,11184.99,20502.14,48318
US48,"2/19/2024 1 a.m. EST",28046,26781,30658,21175,91474,77293,12216,41842,16031,26950,10662.09,20444.48,47425
US48,"2/19/2024 2 a.m. EST",25428,27727,30497,20297,90838,77229,12262,40470,15651,26793,10173.1,20674.02,46672
US48,"2/19/2024 3 a.m. EST",24375,27595,30537,19892,91076,77545,12278,36169,15449,27130,9808.1,20839.22,46332
US48,"2/19/2024 4 a.m. EST",25107,28426,30669,19939,91949,78291,12433,38110,15432,27667,9617.04,21430.93,46614
US48,"2/19/2024 5 a.m. EST",24462,29365,31054,20515,94245,79392,12545,37862,15671,28342,9555.97,22017.9,47381
US48,"2/19/2024 6 a.m. EST",23943,31173,31716,22113,97830,81636,12905,37792,16310,29792,9649.9,22761.21,48922
US48,"2/19/2024 7 a.m. EST",23795,33327,33016,24476,103987,86078,13873,38350,17307,31786,9969.88,24196.8,51614
US48,"2/19/2024 8 a.m. EST",23692,34569,34808,26569,107632,91307,14134,39965,17865,33477,10589.86,25430.59,54935
US48,"2/19/2024 9 a.m. EST",24071,33303,35742,27969,105435,93380,13202,42136,17679,32719,11367.9,25380.98,56182
US48,"2/19/2024 10 a.m. EST",24916,30559,35041,27992,101360,91096,12400,44214,17256,30403,11617.85,23654.65,54514
US48,"2/19/2024 11 a.m. EST",26471,28368,33841,27388,97948,87564,12012,45176,17031,28553,10959.83,21738.77,51581
US48,"2/19/2024 12 p.m. EST",27304,26606,32890,26477,95968,83985,11692,45479,16823,26590,10407.85,20549.65,49084
US48,"2/19/2024 1 p.m. EST",29216,25400,32016,25515,95300,81276,11508,45631,16585,25799,10005.95,19663.37,46990
US48,"2/19/2024 2 p.m. EST",28580,24291,31250,24755,93785,79078,11524,45425,16473,24817,9756.79,18753.29,45006
US48,"2/19/2024 3 p.m. EST",28729,23833,30605,24292,92513,77499,11916,44658,16431,23903,9533.68,18140.77,43974
US48,"2/19/2024 4 p.m. EST",28954,23599,30078,24282,92094,75606,13005,44237,16851,23599,9590.55,17609.74,43462
US48,"2/19/2024 5 p.m. EST",28586,23981,29672,24768,93653,74955,14657,44145,18057,23507,9779.91,17525.25,43160
US48,"2/19/2024 6 p.m. EST",28046,25004,29685,25819,95616,76377,16256,44145,19455,24170,10346.61,17738.31,43321
US48,"2/19/2024 7 p.m. EST",27925,26996,30118,27706,100567,79399,16577,43781,20070,26081,10855.32,18670.2,44002
US48,"2/19/2024 8 p.m. EST",28322,28001,31279,28667,101898,83007,16261,44737,19852,27690,11278.12,19722.78,45390
US48,"2/19/2024 9 p.m. EST",29847,28195,31665,28079,101679,82886,15769,46140,19469,28249,11939.92,20175.28,46998
US48,"2/19/2024 10 p.m. EST",31453,27808,31421,26868,99776,82032,15010,46367,18867,28041,11991.26,20176.99,46753
US48,"2/19/2024 11 p.m. EST",32175,27014,30834,25196,96736,79936,14094,45613,17989,27541,11748.74,19955.72,45548
US48,"2/20/2024 12 a.m. EST",31472,26398,29965,23518,95616,77506,13302,44231,17201,26676,11366.92,19498.64,43817
US48,"2/20/2024 1 a.m. EST",30309,26319,29194,22319,94243,75950,12813,42230,16675,26449,10700.07,19169.45,41904
US48,"2/20/2024 2 a.m. EST",29329,26621,29359,21903,93166,74769,12578,40116,16343,26945,10108.1,19005.35,40669
