"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
US48,"2/19/2024 12 a.m. EST",461895.13,458947.5,459331.13,670
US48,"2/19/2024 1 a.m. EST",450997.57,448731.7,448352.57,243
US48,"2/19/2024 2 a.m. EST",444711.12,441720.6,444267.12,1871
US48,"2/19/2024 3 a.m. EST",439025.32,439769,437800.32,1942
US48,"2/19/2024 4 a.m. EST",445684.97,443618.6,444211.97,1295
US48,"2/19/2024 5 a.m. EST",452407.87,452326.8,450670.87,1051
US48,"2/19/2024 6 a.m. EST",466543.11,471953,464022.11,-66
US48,"2/19/2024 7 a.m. EST",491775.68,495576.4,488284.68,-775
US48,"2/19/2024 8 a.m. EST",514973.45,513299.4,512257.45,-721
US48,"2/19/2024 9 a.m. EST",518566.88,515626.7,515695.88,-634
US48,"2/19/2024 10 a.m. EST",505023.5,506051.4,502227.5,-251
US48,"2/19/2024 11 a.m. EST",488631.6,490960.6,485783.6,-457
US48,"2/19/2024 12 p.m. EST",473855.5,475510.9,470265.5,516
US48,"2/19/2024 1 p.m. EST",464905.32,461455.9,462748.32,1318
US48,"2/19/2024 2 p.m. EST",453494.08,450388.4,452864.08,1176
US48,"2/19/2024 3 p.m. EST",446027.45,444408.6,444853.45,881
US48,"2/19/2024 4 p.m. EST",442967.29,443027.4,442203.29,682
US48,"2/19/2024 5 p.m. EST",446446.16,449892.5,444349.16,-259
US48,"2/19/2024 6 p.m. EST",455978.92,463010.3,452538.92,-1544
US48,"2/19/2024 7 p.m. EST",472747.52,477385.5,470333.52,-1853
US48,"2/19/2024 8 p.m. EST",486104.9,487978,483834.9,-1999
US48,"2/19/2024 9 p.m. EST",491091.2,491205.2,488079.2,-1543
US48,"2/19/2024 10 p.m. EST",486564.25,485120.3,484491.25,-428
US48,"2/19/2024 11 p.m. EST",474380.46,471949.9,471801.46,102
US48,"2/20/2024 12 a.m. EST",460567.56,457487.1,458275.56,273
US48,"2/20/2024 1 a.m. EST",448274.52,447788.5,446860.52,85
US48,"2/20/2024 2 a.m. EST",440911.45,439236,439750.45,27
US48,"2/20/2024 3 a.m. EST",437175.62,436910.6,439437.62,-234
US48,"2/20/2024 4 a.m. EST",438506.84,438846.9,440309.84,-573
US48,"2/20/2024 5 a.m. EST",444696.83,448244.9,445863.83,-500
US48,"2/20/2024 6 a.m. EST",461769.78,469273,462087.78,-638
US48,"2/20/2024 7 a.m. EST",491367.07,496103.1,491236.07,-1230
US48,"2/20/2024 8 a.m. EST",517065.8,514606.3,516878.8,-745
US48,"2/20/2024 9 a.m. EST",514153.17,513259.3,513774.17,-145
US48,"2/20/2024 10 a.m. EST",493933.01,498919.4,494640.01,895
US48,"2/20/2024 11 a.m. EST",474951.95,481646.1,475052.95,1349
US48,"2/20/2024 12 p.m. EST",461663.98,465960.5,461577.98,1548
US48,"2/20/2024 1 p.m. EST",452339.44,453099.3,452393.44,1198
US48,"2/20/2024 2 p.m. EST",444165.52,443219.3,443642.52,845
US48,"2/20/2024 3 p.m. EST",438536.35,438705.8,438315.35,889
US48,"2/20/2024 4 p.m. EST",437061.02,439890.9,436599.02,383
US48,"2/20/2024 5 p.m. EST",442667.72,448801.9,441367.72,-307
US48,"2/20/2024 6 p.m. EST",452751.86,461870.6,449128.86,-1716
US48,"2/20/2024 7 p.m. EST",469082.79,475495.6,465981.79,-1351
US48,"2/20/2024 8 p.m. EST",480020.94,484430.9,476528.94,-1316
US48,"2/20/2024 9 p.m. EST",481913.41,485954.9,477922.41,-1692
US48,"2/20/2024 10 p.m. EST",475700.79,478126.3,472863.79,-1189
US48,"2/20/2024 11 p.m. EST",462829.97,463761.3,461143.97,223
US48,"2/21/2024 12 a.m. EST",447108.13,447389.2,446377.13,512
US48,"2/21/2024 1 a.m. EST",434337.98,430792.9,433830.98,341
US48,"2/21/2024 2 a.m. EST",424779.68,393612.7,423582.68,1715
US48,"2/21/2024 3 a.m. EST",419853.24,389325.5,418456.24,1242
US48,"2/21/2024 4 a.m. EST",418946.12,387835.4,416724.12,172
US48,"2/21/2024 5 a.m. EST",423709.74,396909.4,420267.74,-23
US48,"2/21/2024 6 a.m. EST",438474.77,415841.3,433221.77,-1429
US48,"2/21/2024 7 a.m. EST",467383.75,438885,462193.75,-1576
US48,"2/21/2024 8 a.m. EST",491484.27,453955.6,486998.27,-1229
US48,"2/21/2024 9 a.m. EST",490416.01,451250.5,486588.01,-888
US48,"2/21/2024 10 a.m. EST",476121.08,439571.3,473320.08,-396
US48,"2/21/2024 11 a.m. EST",462814.95,426423.3,459128.95,147
US48,"2/21/2024 12 p.m. EST",453243.89,414429.8,447748.89,1180
US48,"2/21/2024 1 p.m. EST",443585.19,404808.8,442608.19,2280
US48,"2/21/2024 2 p.m. EST",437288.49,397623.5,437374.49,2180
US48,"2/21/2024 3 p.m. EST",433659.9,393977.3,433581.9,2736
US48,"2/21/2024 4 p.m. EST",433027.78,396428.5,432115.78,2318
US48,"2/21/2024 5 p.m. EST",436081.32,405589.4,434195.32,1393
US48,"2/21/2024 6 p.m. EST",446391.67,417553.4,443375.67,-94
US48,"2/21/2024 7 p.m. EST",459867.78,428593.8,457169.78,-689
US48,"2/21/2024 8 p.m. EST",469126.65,435246.7,467467.65,-279
US48,"2/21/2024 9 p.m. EST",469389.09,435835.5,467513.09,195
US48,"2/21/2024 10 p.m. EST",464145.14,427273.4,461201.14,1052
US48,"2/21/2024 11 p.m. EST",450370.28,412723,448562.28,2173
US48,"2/22/2024 12 a.m. EST",434688.53,396545.6,432364.53,1893
US48,"2/22/2024 1 a.m. EST",419301.53,384648.2,418498.53,2616
US48,"2/22/2024 2 a.m. EST",409028.95,400399.6,407854.95,2729
US48,"2/22/2024 3 a.m. EST",404110.6,394742.3,403032.6,2564
US48,"2/22/2024 4 a.m. EST",401760.78,395766.4,400844.78,2493
US48,"2/22/2024 5 a.m. EST",405084.91,403815.2,403169.91,2508
US48,"2/22/2024 6 a.m. EST",417160.76,422425.3,414883.76,1375
US48,"2/22/2024 7 a.m. EST",443280.39,446739.1,440462.39,327
US48,"2/22/2024 8 a.m. EST",466242.27,465455.1,462855.27,5
US48,"2/22/2024 9 a.m. EST",467999.8,469265.1,465037.8,470
US48,"2/22/2024 10 a.m. EST",461638.39,464077.1,459911.39,1697
US48,"2/22/2024 11 a.m. EST",455915.99,455513,453496.99,1761
US48,"2/22/2024 12 p.m. EST",450010.11,445698.2,446552.11,1927
