OutDatetime,InDatetime,Name,Voltage,DurationMin,OutageType,Cause,ResponsibleSystem,intprt,District,ID
09/20/2022 10:11,,Intalco: Alcoa 13.8kV Feeder 4,13.8,still out,Auto,Terminal Equipment Failure,Customer,Unknown,SNO,223041
04/30/2023 19:09,,Valhalla: Chelan Co PUD 115kV Feeder T1,115.0,still out,Auto,Unknown,BPA,Unknown,WEN,224196
01/05/2024 15:45,01/06/2024 01:20,Sappho: Clallam Co PUD 69kV Feeder 1,69.0,575,Auto,Tree,BPA,Unknown,OLY,225291
01/05/2024 15:45,01/06/2024 01:20,Sappho: Clallam Co PUD 69kV Feeder 2,69.0,575,Auto,Tree,BPA,Unknown,OLY,225292
01/05/2024 15:45,01/05/2024 15:45,Silverado: Clallam Co PUD 115kV Feeder 1,115.0,0,Auto,Tree,BPA,Unknown,OLY,225293
01/05/2024 23:31,01/06/2024 02:45,Oxbow PCP: Pacific Co PUD 115kV Feeder 1,115.0,194,Auto,Unknown,BPA,Unknown,LGV,225295
01/06/2024 13:45,01/06/2024 13:45,Priest River AVA: Avista Corp 115kV Feeder 1,115.0,0,Auto,Unknown,BPA,Unknown,SPK,225299
01/06/2024 13:45,01/06/2024 13:45,Ponderay: Northern Lights 115kV Feeder 1,115.0,0,Auto,Unknown,BPA,Unknown,SPK,225300
01/06/2024 13:45,01/06/2024 13:45,Dover SW STA: Northern Lights 115kV Feeder 1,115.0,0,Auto,Unknown,BPA,Unknown,SPK,225301
01/06/2024 13:45,01/06/2024 13:45,Laclede: Northern Lights 13.8kV Feeder 1,13.8,0,Auto,Unknown,BPA,Unknown,SPK,225302
01/06/2024 13:45,01/06/2024 13:45,Sandpoint: Northern Lights 13.8kV Feeder 1,13.8,0,Auto,Unknown,BPA,Unknown,SPK,225303
01/06/2024 13:45,01/06/2024 13:45,Priest River: Northern Lights 34.5kV Feeder 1,34.5,0,Auto,Unknown,BPA,Unknown,SPK,225304
01/08/2024 04:23,01/08/2024 06:46,Drummond: Fall River E Coop 46kV Feeder 2,46.0,143,Auto,Unknown,BPA,Unknown,IDF,225305
01/08/2024 20:14,01/09/2024 05:21,Lake Bay: Peninsula L Co 115kV Feeder 1 by Tacoma Power,115.0,547,Auto,Weather,Transferor,Unknown,COV,225306
01/08/2024 20:14,01/08/2024 22:03,Vaughn: Peninsula L Co 115kV Feeder 1 by Tacoma Power,115.0,109,Auto,Weather,Transferor,Unknown,COV,225307
01/08/2024 22:22,01/09/2024 05:21,Vaughn: Peninsula L Co 115kV Feeder 1 by Tacoma Power,115.0,419,Auto,Weather,Transferor,Unknown,COV,225308
01/08/2024 22:45,01/08/2024 23:30,Ocean Park: Pacific Co PUD 115kV Feeder 1,115.0,45,Auto,Tree,BPA,Unknown,LGV,225309
01/08/2024 22:57,01/08/2024 22:57,Pe Ell: Lewis Co PUD 115kV Feeder 1,115.0,0,Auto,Unknown,BPA,Unknown,OLY,225311
01/08/2024 23:12,01/09/2024 03:07,Dayton MCP3: Mason Co PUD  3 115kV Feeder 1,115.0,235,Auto,Unknown,BPA,Unknown,OLY,225315
